continent,country_code,latitude,longitude,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type,year,month,day
nar,GRL,60.72080857,-44.0243,3.0,8.1,-1.9,45,7.6,0.0,2,Cloudy,EQ,2024,9,8
nar,GRL,60.670814,-43.56333863,6.5,7.2,5.6,63,11.2,0.0,2,Cloudy,EQ,2024,9,8
nar,USA,57.33870857,-154.8859,10.3,11.7,9.1,88,14.8,1.79,3,Mist,EQ,2024,9,8
nar,CAN,61.9457962,-110.4371902,12.1,13.3,10.5,81,19.1,0.0,3,Cloudy,WF,2024,9,8
nar,USA,50.48050857,-173.3834,10.7,11.6,9.3,96,41.0,4.13,3,Light drizzle,EQ,2024,9,8
nar,USA,41.72825857,-113.461593,24.3,31.1,18.7,23,24.8,0.57,7,Patchy rain possible,WF,2024,9,8
nar,USA,63.2926,-144.3586,5.7,9.5,2.2,79,7.9,0.5,2,Patchy rain possible,EQ,2024,9,8
nar,USA,41.74900857,-77.7,8.4,16.7,1.2,69,20.5,0.0,4,Fog,SW,2024,9,8
nar,USA,34.149333,-80.7385,22.1,27.0,18.6,52,18.7,0.0,7,Partly cloudy,EQ,2024,9,8
nar,USA,47.54067524,-122.8818333,19.0,27.4,12.9,73,13.7,0.0,6,Fog,EQ,2024,9,8
nar,USA,65.21860857,-162.6817,9.1,10.8,6.3,82,29.2,0.61,3,Light drizzle,EQ,2024,9,8
nar,CUB,20.9,-76.6,29.1,35.7,24.3,69,25.2,2.42,8,Patchy rain possible,TC,2024,9,8
nar,USA,37.42580857,-117.1298,27.7,33.0,22.7,25,16.6,0.0,8,Sunny,EQ,2024,9,8
nar,USA,42.226167,-122.703333,21.0,31.9,12.3,46,12.2,0.0,8,Sunny,EQ,2024,9,8
nar,CAN,50.59009046,-78.86732574,6.3,7.0,5.9,96,23.4,11.63,2,Light rain,WF,2024,9,8
nar,USA,34.18845297,-85.4072222,27.8,34.0,22.5,67,13.3,1.39,7,Patchy rain possible,WF,2024,8,8
nar,CAN,57.94888005,-99.27474591,16.1,22.4,9.1,52,15.5,0.0,6,Partly cloudy,WF,2024,8,8
nar,CAN,56.68555516,-102.9680742,16.1,22.4,9.1,52,15.5,0.0,6,Partly cloudy,WF,2024,8,8
nar,MEX,13.61190857,-92.9526,27.7,30.0,25.1,78,9.7,2.16,7,Patchy rain possible,EQ,2024,8,8
nar,USA,65.16000857,-154.3478,12.9,16.1,10.4,87,13.0,3.95,4,Light rain shower,EQ,2024,8,8
nar,USA,59.22940857,-148.7976,10.6,13.0,7.6,97,6.5,20.38,3,Light rain,EQ,2024,8,8
nar,USA,29.5,-83.7,23.3,25.4,21.6,85,8.3,0.57,6,Patchy rain possible,TC,2024,9,8
nar,USA,36.24900857,-80.2,18.0,24.8,12.2,47,9.7,0.0,6,Sunny,SW,2024,9,8
nar,USA,40.7814865,-73.95905443,21.6,23.2,20.2,79,19.4,1.51,5,Light rain shower,FL,2024,8,8
nar,MEX,19.47428895,-99.29117134,17.9,24.4,12.9,65,16.9,3.4,5,Patchy rain possible,FL,2024,8,8
nar,USA,33.11813366,-99.3484047,24.7,28.1,21.6,67,47.2,5.71,6,Light rain shower,WF,2024,7,8
nar,USA,40.56417557,-107.779833,16.6,27.2,5.2,36,23.0,0.0,7,Sunny,WF,2024,7,8
nar,MEX,17.44940857,-91.3246,25.8,30.2,22.3,87,10.4,15.72,7,Light rain shower,EQ,2024,7,8
nar,USA,59.95600857,-149.823,9.4,10.7,5.5,97,10.1,2.27,3,Light drizzle,EQ,2024,7,8
nar,USA,34.78967524,-96.519,24.2,29.8,19.8,80,24.8,12.73,6,Light rain shower,EQ,2024,7,8
nar,USA,59.904,-149.825,9.4,10.7,5.5,97,10.1,2.27,3,Light drizzle,TN,2024,7,8
nar,USA,46.93255457,-107.409668,23.6,30.0,16.9,39,18.0,0.0,8,Sunny,WF,2024,7,8
nar,USA,48.807167,-119.4215,25.1,34.8,14.5,29,6.8,0.0,8,Sunny,EQ,2024,7,8
nar,CAN,48.75400857,-125.5465,16.6,19.2,13.9,79,12.6,0.0,4,Cloudy,EQ,2024,7,8
nar,USA,35.15800857,-119.097,33.4,43.7,23.2,14,16.9,0.0,10,Sunny,EQ,2024,7,8
nar,USA,34.57517524,-97.28716667,24.5,30.1,19.6,75,36.7,18.24,7,Light rain shower,EQ,2024,7,8
nar,USA,54.86520857,-161.5102,10.5,11.9,8.7,86,11.9,0.04,3,Overcast,EQ,2024,7,8
nar,USA,35.50664157,-114.09145,28.1,33.8,22.1,17,31.0,0.0,8,Sunny,WF,2024,6,8
nar,CAN,62.52104458,-122.1080185,5.7,6.9,4.5,92,9.7,0.5,2,Fog,WF,2024,6,8
nar,CAN,61.15675823,-126.3456395,12.9,18.6,6.2,56,17.3,0.01,5,Partly cloudy,WF,2024,6,8
nar,CAN,63.32247801,-118.4137731,9.9,14.8,5.2,67,23.4,0.18,3,Overcast,WF,2024,6,8
